id	name	dateText	dateStart	dateEnd	description	mechanism	mechanismTags	purposeTags	specialTags	metrics	referenceLink	images	createdBy	createdAt	status
seed_01	小遊戲挑戰送元流睡衣套裝	2026/06/18 10:00–06/30 23:59	2026-06-18	2026-06-30	完成小遊戲挑戰可獲得甜夢時光套裝（元流 7011、7012）。	2048 玩法，透過合併方塊累積分數達成關卡目標。	益智消除						歷史活動彙整	2026-06-18T00:00:00.000Z	seed
seed_02	源寶旅行日記	2026/01/30 14:00–02/06 23:59	2026-01-30	2026-02-06		玩家可進行「源寶旅行日記」創作，完成日記後累積進度並獲得對應獎勵。	任務養成						歷史活動彙整	2026-01-30T00:00:00.000Z	seed
seed_03	宮中一夢 × 請安大作戰	2026/02/19 14:00–03/18 23:59	2026-02-19	2026-03-18	完成聯動劇情任務可獲得聯動語音、回城特效、加速特效等聯動獎勵。	向皇上大聲請安，並躲過其他嬪妃的阻撓，考驗反應速度。	反應操作		IP聯動				歷史活動彙整	2026-02-19T00:00:00.000Z	seed
seed_04	新年祈福光明燈	2025/01/24 16:00–02/03 23:59	2025-01-24	2025-02-03		點擊各燈下方「去點燈」按鈕查看任務列表，完成任務累積福氣值（鈔能力燈可直接投入金幣點燈）。	任務養成		節慶檔期				歷史活動彙整	2025-01-24T00:00:00.000Z	seed
seed_05	女僕甜點店	2025/02/20 16:00–03/09 23:59	2025-02-20	2025-03-09	下發羊咩女僕頭像（valorpass9022）。	經營甜點店拿好禮！完成任務解鎖餐點種類，上架並獲取收益，兌換里程碑獎勵。	經營模擬						歷史活動彙整	2025-02-20T00:00:00.000Z	seed
seed_06	我要成為咒術師	2025/03/28 14:00–04/19 23:59	2025-03-28	2025-04-19	完成任務可得「吵死人了」永久表情。	式神大出擊：丟青蛙／爆打咒靈館：打地鼠／咒術電影院：觀影達指定時長領取禮包，開啟有機會獲得限時造型抵用券。	反應操作		IP聯動				歷史活動彙整	2025-03-28T00:00:00.000Z	seed
seed_07	夏日酥脆挑戰賽	2025/06/14 12:00–06/30 23:59	2025-06-14	2025-06-30	酥脆特派員造型（53008）。	摳糖餅、木頭人等反應類小遊戲玩法。	反應操作		節慶檔期				歷史活動彙整	2025-06-14T00:00:00.000Z	seed
seed_08	貓蟲鑑定送永久表情	2025/09/05 14:00–09/21 23:59	2025-09-05	2025-09-21	完成測驗送永久表情。	心理測驗形式，依作答結果分派鑑定結果。	心理測驗						歷史活動彙整	2025-09-05T00:00:00.000Z	seed
seed_09	紫苑食堂送週邊	2025/11/14 14:00–11/30 23:59	2025-11-14	2025-11-30	完成任務送實體週邊。	紫苑的料理日記：找出食材的完美比例。	經營模擬,益智消除						歷史活動彙整	2025-11-14T00:00:00.000Z	seed
seed_10	新年新希望！挑戰拿獎勵！	2025/12/27 14:00–2026/02/08 23:59	2025-12-27	2026-02-08	（新年）時光膠囊。	跨年檔期任務累積型玩法，開啟時光膠囊獲得獎勵。	任務養成		節慶檔期				歷史活動彙整	2025-12-27T00:00:00.000Z	seed
seed_11	戰慄的龍卷	2024/4/2 14:00–4/30 23:59	2024-04-02	2024-04-30	大獎造型「戰慄的龍卷-克里希」（10611，附贈相框382）。	每次應援可獲得 5～25 個應援棒，不同對手及戰鬥結果獲得不同數量，累積應援棒達標可獲得聯動獎勵及大獎。	陣營競賽,任務養成		IP聯動				歷史活動彙整	2024-04-02T00:00:00.000Z	seed
seed_12	星願季一番賞	2024/4/3 14:00–4/14 23:59	2024-04-03	2024-04-14		完成指定任務即可免費獲得抽獎券參與抽獎。	抽獎機率						歷史活動彙整	2024-04-03T00:00:00.000Z	seed
seed_13	安奈特的夏日冰坊	2024/6/19 10:00–7/7 23:59	2024-06-19	2024-07-07	里程碑大獎「安奈特-蜜雪澄心」造型（51911）。	經營冰鋪拿好禮！完成任務解鎖新冰淇淋種類，上架獲取收益，兌換里程碑獎勵。	經營模擬		節慶檔期				歷史活動彙整	2024-06-19T00:00:00.000Z	seed
seed_14	屬於我的2024傳說	2024/7/6–7/8	2024-07-06	2024-07-08	開箱必得指定名單造型其中之一，或機會升級進階寶箱。	玩家進入活動頁面回顧年度傳說大事記與個人數據，完成回顧後獲得年度回顧驚喜箱。	劇情回顧		週年慶				歷史活動彙整	2024-07-06T00:00:00.000Z	seed
seed_15	艾森諾攻防戰	2024/9/18 16:00–10/6 23:59	2024-09-18	2024-10-06	四大陣營冠軍相框（帶限時前綴「最強」）。	玩家選擇陣營加入，透過每日任務累積「小兵」派遣攻擊領土，依領土佔領結算「戰功」，總結算依陣營戰功排序給予對應獎勵。	陣營競賽						歷史活動彙整	2024-09-18T00:00:00.000Z	seed
seed_16	咒力輸出挑戰	2024/11/1 14:00–11/17 23:59	2024-11-01	2024-11-17	完成積分挑戰送限定表情。	拚手速點擊累積咒力，累積達標完成積分挑戰。	反應操作		IP聯動				歷史活動彙整	2024-11-01T00:00:00.000Z	seed
seed_17	新年活躍 H5	2023/1/17–1/31	2023-01-17	2023-01-31	解鎖所有場景可領取最終大獎造型五選一。	透過指定任務獲得茶點，消耗茶點探索新年奇境，共六個場景。	任務養成,劇情回顧		節慶檔期				歷史活動彙整	2023-01-17T00:00:00.000Z	seed
seed_18	回歸之路 由我指引	2023/12/6 16:00–12/20 23:59	2023-12-06	2023-12-20	積分達標可領取星河徽章、紫色卷軸等好禮。	進入活動網頁後顯示個人積分累積頁面，透過指定方式獲取積分。	任務養成	回流	老玩家回歸				歷史活動彙整	2023-12-06T00:00:00.000Z	seed
seed_19	分享H5 建造大作戰	2023/4/10 16:00–4/27 23:59	2023-04-10	2023-04-27	英雄造型五選一。	玩遊戲領沙子，用沙子蓋沙堡，可邀請朋友一起捍衛沙堡。	社交邀請	拉新					歷史活動彙整	2023-04-10T00:00:00.000Z	seed
seed_20	H5 點亮傳說燈火	2023/7/7 16:00–7/18 23:59	2023-07-07	2023-07-18		完成任務點亮所在區域。	任務養成		週年慶				歷史活動彙整	2023-07-07T00:00:00.000Z	seed
seed_21	傳說紀念冊	2023/7/10 16:00–7/18 23:59	2023-07-10	2023-07-18		進入傳說紀念冊活動可觀看年度回顧，並領取個人專屬獎勵。	劇情回顧		週年慶				歷史活動彙整	2023-07-10T00:00:00.000Z	seed
seed_22	摯友の合奏	2023/7/15 16:00–8/14 23:59	2023-07-15	2023-08-14		活動頁面選擇 1 個喜歡的獎勵，完成任務獲得幫助次數，輸入邀請碼幫助好朋友合奏，成功後免費獲得所選獎勵。	社交邀請	留存,拉新					歷史活動彙整	2023-07-15T00:00:00.000Z	seed
seed_23	心理測驗 H5	2023/10/19–11/1	2023-10-19	2023-11-01	下發 S-Dreamer 相框（huodong_HeadFrame406）。	心理測驗形式。	心理測驗						歷史活動彙整	2023-10-19T00:00:00.000Z	seed
seed_24	H5 凡恩發紅包	2023/1/14–2/3	2023-01-14	2023-02-03		跟朋友互送發財金，兌換造型。	社交邀請		節慶檔期				歷史活動彙整	2023-01-14T00:00:00.000Z	seed
seed_25	誰是你的幸運女神	2023/3/25 00:00–4/6 23:59	2023-03-25	2023-04-06	資源上架：艾瑞的比心（41322）。	心理測驗形式。	心理測驗						歷史活動彙整	2023-03-25T00:00:00.000Z	seed
seed_26	H5 嘉年華樂園	2023/4/29–5/14	2023-04-29	2023-05-14		射箭、打地鼠、放映廳等多款小遊戲合輯。	反應操作						歷史活動彙整	2023-04-29T00:00:00.000Z	seed
seed_27	傳說日音樂同樂會	2023/7/13 16:00–7/26 23:59	2023-07-13	2023-07-26	英雄五選一選擇卡（祖卡、綺蘿、拉茲、奎倫、銀晝）。	登入完成任務獲得能量，利用能量解鎖音樂關卡，共 12 關，關卡難度對應獎勵。	音樂節奏		週年慶				歷史活動彙整	2023-07-13T00:00:00.000Z	seed
seed_28	挑戰 X 念 X 測驗	2023/8/1–8/20	2023-08-01	2023-08-20	完成測驗送西索表情（永久）。	念能力測試（心理測驗形式）。	心理測驗		IP聯動				歷史活動彙整	2023-08-01T00:00:00.000Z	seed
